,Normal 400 Rogue 10,Normal 300 Rogue 10,Normal 200 Rogue 10
5.71,49.111111111111114,,
5.72,49.55555555555556,,
5.73,49.111111111111114,,
5.74,37.77777777777778,,
5.75,47.11111111111111,,
5.76,66.44444444444444,,
5.77,66.0,,
5.78,64.22222222222223,,
5.79,57.333333333333336,,
5.8,50.888888888888886,,
5.81,49.111111111111114,,
5.82,40.44444444444444,,
5.83,44.888888888888886,,
5.84,48.22222222222222,,
5.85,50.66666666666667,,
5.86,54.888888888888886,,
5.87,60.0,,
5.88,55.55555555555556,,
5.89,51.11111111111111,,
5.9,50.44444444444445,,
5.91,52.888888888888886,,
5.92,51.33333333333333,,
5.93,52.666666666666664,,
5.94,43.55555555555555,,
5.95,50.888888888888886,,
5.96,52.888888888888886,,
5.97,44.44444444444444,,
5.98,51.33333333333333,,
5.99,44.0,,
6.0,48.22222222222222,,
6.01,47.11111111111111,,
6.02,46.22222222222222,,
6.03,48.66666666666667,,
6.04,42.66666666666667,,
6.05,43.111111111111114,,
6.06,50.22222222222222,,
6.07,47.77777777777778,,
6.08,43.77777777777778,,
6.09,50.66666666666667,,
6.1,47.77777777777778,,
6.11,48.888888888888886,,
6.12,43.111111111111114,,
6.13,47.11111111111111,,
6.14,44.888888888888886,,
6.15,44.22222222222222,,
6.16,56.00000000000001,,
6.17,54.666666666666664,,
6.18,44.666666666666664,,
6.19,49.333333333333336,,
6.2,52.888888888888886,,
6.21,52.888888888888886,,
6.22,53.11111111111111,,
6.23,48.22222222222222,,
6.24,52.44444444444445,,
6.25,52.44444444444445,,
6.26,52.44444444444445,,
6.27,57.333333333333336,,
6.28,52.44444444444445,,
6.29,51.55555555555556,,
6.3,45.111111111111114,,
6.31,43.111111111111114,,
6.32,40.44444444444444,,
6.33,44.888888888888886,,
6.34,46.88888888888889,,
6.35,46.22222222222222,,
6.36,47.11111111111111,,
6.37,40.0,,
6.38,45.33333333333333,,
6.39,50.888888888888886,,
6.4,42.0,,
6.41,41.333333333333336,,
6.42,44.44444444444444,,
6.43,49.111111111111114,,
6.44,44.44444444444444,,
6.45,42.66666666666667,,
6.46,54.888888888888886,,
6.47,51.33333333333333,,
6.48,53.11111111111111,,
6.49,50.22222222222222,,
6.5,42.888888888888886,,
6.51,47.11111111111111,,
6.52,43.55555555555555,,
6.53,54.888888888888886,,
6.54,53.333333333333336,,
6.55,45.55555555555556,,
6.56,35.11111111111111,,
6.57,38.44444444444444,,
6.58,46.0,,
6.59,32.0,,
6.6,38.0,,
6.61,48.44444444444444,,
6.62,44.888888888888886,,
6.63,40.88888888888889,,
6.64,34.22222222222222,,
6.65,34.44444444444444,,
6.66,34.66666666666667,,
6.67,44.666666666666664,,
6.68,43.55555555555555,,
6.69,41.55555555555556,,
6.7,54.0,,
6.71,59.111111111111114,,
6.72,50.888888888888886,,
6.73,51.55555555555556,,
6.74,49.111111111111114,,
6.75,48.888888888888886,,
6.76,49.333333333333336,,
6.77,46.22222222222222,,
6.78,41.77777777777778,,
6.79,44.0,,
6.8,47.333333333333336,,
6.81,46.666666666666664,,
6.82,31.555555555555554,,
6.83,40.666666666666664,,
6.84,56.44444444444444,,
6.85,46.22222222222222,,
6.86,41.333333333333336,,
6.87,41.11111111111111,,
6.88,46.22222222222222,,
6.89,50.66666666666667,,
6.9,42.66666666666667,,
6.91,39.111111111111114,,
6.92,30.0,,
6.93,34.44444444444444,,
6.94,41.333333333333336,,
6.95,44.22222222222222,,
6.96,39.111111111111114,,
6.97,45.33333333333333,,
6.98,37.55555555555555,,
6.99,49.111111111111114,,
7.0,51.55555555555556,,
7.01,44.666666666666664,,
7.02,35.11111111111111,,
7.03,48.888888888888886,,
7.04,43.111111111111114,,
7.05,40.44444444444444,,
7.06,38.666666666666664,,
7.07,43.111111111111114,,
7.08,45.33333333333333,,
7.09,42.22222222222222,,
7.1,44.666666666666664,,
7.11,48.888888888888886,,
7.12,47.55555555555556,,
7.13,45.77777777777778,,
7.14,49.333333333333336,,
7.15,42.0,,
7.16,42.44444444444444,,
7.17,41.11111111111111,,
7.18,49.111111111111114,,
7.19,37.55555555555555,,
7.2,34.22222222222222,,
7.21,34.44444444444444,,
7.22,39.111111111111114,,
7.23,38.44444444444444,,
7.24,40.88888888888889,,
7.25,54.888888888888886,,
7.26,43.77777777777778,,
7.27,36.888888888888886,,
7.28,35.55555555555556,,
7.29,38.0,,
7.3,37.77777777777778,,
7.31,35.55555555555556,,
7.32,40.0,,
7.33,46.44444444444444,,
7.34,34.0,,
7.35,28.22222222222222,,
7.36,32.44444444444444,,
7.37,29.777777777777775,,
7.38,44.0,,
7.39,32.88888888888889,,
7.4,35.77777777777777,,
7.41,33.55555555555556,,
7.42,35.55555555555556,,
7.43,46.666666666666664,,
7.44,50.66666666666667,,
7.45,51.11111111111111,,
7.46,48.0,,
7.47,53.11111111111111,,
7.48,54.22222222222223,,
7.49,45.77777777777778,,
7.5,40.666666666666664,,
7.51,51.33333333333333,,
7.52,54.44444444444444,,
7.53,42.0,,
7.54,32.44444444444444,,
7.55,36.22222222222222,,
7.56,46.88888888888889,,
7.57,42.0,,
7.58,33.55555555555556,,
7.59,37.55555555555555,,
7.6,45.33333333333333,,
7.61,40.44444444444444,,
7.62,42.22222222222222,,
7.63,35.77777777777777,,
7.64,44.666666666666664,,
7.65,41.333333333333336,,
7.66,45.111111111111114,,
7.67,43.333333333333336,,
7.68,42.22222222222222,,
7.69,38.88888888888889,,
7.7,37.333333333333336,,
7.71,34.66666666666667,,
7.72,38.666666666666664,,
7.73,49.111111111111114,,
7.74,52.0,,
7.75,54.888888888888886,,
7.76,46.22222222222222,,
7.77,49.77777777777778,,
7.78,48.22222222222222,,
7.79,57.77777777777777,,
7.8,48.888888888888886,,
7.81,49.55555555555556,,
7.82,39.111111111111114,,
7.83,39.55555555555556,,
7.84,39.33333333333333,,
7.85,43.77777777777778,,
7.86,36.888888888888886,,
7.87,42.22222222222222,,
7.88,40.44444444444444,,
7.89,38.88888888888889,,
7.9,42.44444444444444,,
7.91,43.55555555555555,,
7.92,44.0,,
7.93,51.11111111111111,,
7.94,51.33333333333333,,
7.95,46.0,,
7.96,39.55555555555556,,
7.97,44.22222222222222,,
7.98,49.111111111111114,,
7.99,48.66666666666667,,
8.0,39.77777777777778,,
8.01,30.666666666666664,,
8.02,43.111111111111114,,
8.03,46.666666666666664,,
8.04,50.0,,
